GRIB2
0 0 0  "TMP" "Temperature" "K"
0 0 1  "VTMP" "Virtual Temperature" "K"
0 0 2  "POT" "Potential Temperature" "K"
0 0 3  "EPOT" "Pseudo-Adiabatic Potential Temperature (or Equivalent Potential Temperature)" "K"
0 0 4  "TMAX" "Maximum Temperature" "K"
0 0 5  "TMIN" "Minimum Temperature" "K"
0 0 6  "DPT" "Dew Point Temperature" "K"
0 0 7  "DEPR" "Dew Point Depression (or Deficit)" "K"
0 0 8  "LAPR" "Lapse Rate" "K/m"
0 0 9  "TMPA" "Temperature Anomaly" "K"
0 0 10  "LHTFL" "Latent Heat Net Flux" "W/m^2"
0 0 11  "SHTFL" "Sensible Heat Net Flux" "W/m^2"
0 0 12  "HEATX" "Heat Index" "K"
0 0 13  "WCF" "Wind Chill Factor" "K"
0 0 14  "MINDPD" "Minimum Dew Point depression" "K"
0 0 15  "VPTMP" "Virtual Potential Temperature" "K"
0 0 16  "SNOHF" "Snow phase change heat flux" "W/m^2"
0 0 17  "SKINT" "Skin Temperature" "K"
0 0 192  "SNOHF" "Snow Phase Change Heat Flux" "W/m^2"
0 0 193  "TTRAD" "Temperature tendency by all radiation" "K/s"
0 0 194  "REV" "Relative Error Variance" "-"
0 0 195  "LRGHR" "Large Scale Condensate Heating rate" "K/s"
0 0 196  "CNVHR" "Deep Convective Heating rate" "K/s"
0 0 197  "THFLX" "Total Downward Heat Flux at Surface" "W/m^2"
0 0 198  "TTDIA" "Temperature Tendency By All Physics" "K/s"
0 0 199  "TTPHY" "Temperature Tendency By Non-radiation Physics" "K/s"
0 0 200  "TSD1D" "Standard Dev. of IR Temp. over 1x1 deg. area" "K"
0 0 201  "SHAHR" "Shallow Convective Heating rate" "K/s"
0 0 202  "VDFHR" "Vertical Diffusion Heating rate" "K/s"
0 0 203  "THZ0" "Potential temperature at top of viscous sublayer" "K"
0 0 204  "TCHP" "Tropical Cyclone Heat Potential" "J/m2K"
0 1 0  "SPFH" "Specific Humidity" "kg/kg"
0 1 1  "RH" "Relative Humidity" "%"
0 1 2  "MIXR" "Humidity Mixing Ratio" "kg/kg"
0 1 3  "PWAT" "Precipitable Water" "kg/m^2"
0 1 4  "VAPP" "Vapor Pressure" "Pa"
0 1 5  "SATD" "Saturation Deficit" "Pa"
0 1 6  "EVP" "Evaporation" "kg/m^2"
0 1 7  "PRATE" "Precipitation Rate" "kg/m^2/s"
0 1 8  "APCP" "Total Precipitation" "kg/m^2"
0 1 9  "NCPCP" "Large-Scale Precipitation (non-convective)" "kg/m^2"
0 1 10  "ACPCP" "Convective Precipitation" "kg/m^2"
0 1 11  "SNOD" "Snow Depth" "m"
0 1 12  "SRWEQ" "Snowfall Rate Water Equivalent" "kg/m^2/s"
0 1 13  "WEASD" "Water Equivalent of Accumulated Snow Depth" "kg/m^2"
0 1 14  "SNOC" "Convect Snow" "kg/m^2"
0 1 15  "SNOL" "Large-Scale Snow" "kg/m^2"
0 1 16  "SNOM" "Snow Melt" "kg/m^2"
0 1 17  "SNOAG" "Snow Age" "day"
0 1 18  "ABSH" "Absolute Humidity" "kg/m^3"
0 1 19  "PTYPE" "Precipitation Type" "-"
0 1 20  "ILIQW" "Integrated Liquid Water" "kg/m^2"
0 1 21  "TCOND" "Condensate" "kg/kg"
0 1 22  "CLWMR" "Cloud Mixing Ratio" "kg/kg"
0 1 23  "ICMR" "Ice Water Mixing Ratio" "kg/kg"
0 1 24  "RWMR" "Rain Mixing Ratio" "kg/kg"
0 1 25  "SNMR" "Snow Mixing Ratio" "kg/kg"
0 1 26  "MCONV" "Horizontal Moisture Convergence" "kg/kg/s"
0 1 27  "MAXRH" "Maximum Relative Humidity" "%"
0 1 28  "MAXAH" "Maximum Absolute Humidity" "kg/m^3"
0 1 29  "ASNOW" "Total Snowfall" "m"
0 1 30  "PWCAT" "Precipitable Water Category" "-"
0 1 31  "HAIL" "Hail" "m"
0 1 32  "GRLE" "Grauple" "kg/kg"
0 1 33  "CRAIN" "Categorical Rain" "-"
0 1 34  "CFRZR" "Categorical Freezing Rain" "-"
0 1 35  "CICEP" "Categorical Ice Pellets" "-"
0 1 36  "CSNOW" "Categorical Snow" "-"
0 1 37  "CPRAT" "Convective Precipitation Rate" "kg/m^2/s"
0 1 38  "MCONV" "Horizontal Moisture Divergence" "kg/kg/s"
0 1 39  "CPOFP" "Percent frozen precipitation" "%"
0 1 40  "PEVAP" "Potential Evaporation" "kg/m^2"
0 1 41  "PEVPR" "Potential Evaporation Rate" "W/m^2"
0 1 42  "SNOWC" "Snow Cover" "%"
0 1 43  "FRAIN" "Rain Fraction of Total Liquid Water" "Proportion"
0 1 44  "RIME" "Rime Factor" "Numeric"
0 1 45  "TCOLR" "Total Column Integrated Rain" "kg/m^2"
0 1 46  "TCOLS" "Total Column Integrated Snow" "kg/m^2"
0 1 47  "LSWP" "Large Scale Water Precipitation (Non-Convective)" "kg/m^2"
0 1 48  "CWP" "Convective Water Precipitation" "kg/m^2"
0 1 49  "TWATP" "Total Water Precipitation" "kg/m^2"
0 1 50  "TSNOWP" "Total Snow Precipitation" "kg/m^2"
0 1 51  "TCWAT" "Total Column Water (Vertically integrated total water (vapour+cloud water/ice)" "kg/m^2"
0 1 52  "TPRATE" "Total Precipitation Rate" "kg/m^2/s"
0 1 53  "TSRWE" "Total Snowfall Rate Water Equivalent" "kg/m^2/s"
0 1 54  "LSPRATE" "Large Scale Precipitation Rate" "kg/m^2/s"
0 1 55  "CSRWE" "Convective Snowfall Rate Water Equivalent" "kg/m^2/s"
0 1 56  "LSSRWE" "Large Scale Snowfall Rate Water Equivalent" "kg/m^2/s"
0 1 57  "TSRATE" "Total Snowfall Rate" "m/s"
0 1 58  "CSRATE" "Convective Snowfall Rate" "m/s"
0 1 59  "LSSRATE" "Large Scale Snowfall Rate" "m/s"
0 1 60  "SDWE" "Snow Depth Water Equivalent" "kg/m^2"
0 1 61  "SDEN" "Snow Density" "kg/m^3"
0 1 62  "SEVAP" "Snow Evaporation" "kg/m^2"
0 1 64  "TCIWV" "Total Column Integrated Water Vapour" "kg/m^2"
0 1 65  "RPRATE" "Rain Precipitation Rate" "kg/m^2/s"
0 1 66  "SPRATE" "Snow Precipitation Rate" "kg/m^2/s"
0 1 67  "FPRATE" "Freezing Rain Precipitation Rate" "kg/m^2/s"
0 1 68  "IPRATE" "Ice Pellets Precipitation Rate" "kg/m^2/s"
0 1 192  "CRAIN" "Categorical Rain (yes=1; no=0)" "non-dim"
0 1 193  "CFRZR" "Categorical Freezing Rain (yes=1; no=0)" "non-dim"
0 1 194  "CICEP" "Categorical Ice Pellets (yes=1; no=0)" "non-dim"
0 1 195  "CSNOW" "Categorical Snow (yes=1; no=0)" "non-dim"
0 1 196  "CPRAT" "Convective Precipitation Rate" "kg/m^2/s"
0 1 197  "MCONV" "Horizontal Moisture Divergence" "kg/kg/s"
0 1 198  "MINRH" "Minimum Relative Humidity" "%"
0 1 199  "PEVAP" "Potential Evaporation" "kg/m^2"
0 1 200  "PEVPR" "Potential Evaporation Rate" "W/m^2"
0 1 201  "SNOWC" "Snow Cover" "%"
0 1 202  "FRAIN" "Rain Fraction of Total Liquid Water" "non-dim"
0 1 203  "RIME" "Rime Factor" "non-dim"
0 1 204  "TCOLR" "Total Column Integrated Rain" "kg/m^2"
0 1 205  "TCOLS" "Total Column Integrated Snow" "kg/m^2"
0 1 206  "TIPD" "Total Icing Potential Diagnostic" "non-dim"
0 1 207  "NCIP" "Number concentration for ice particles" "non-dim"
0 1 208  "SNOT" "Snow temperature" "K"
0 1 209  "TCLSW" "Total column-integrated supercooled liquid water" "kg/m^2"
0 1 210  "TCOLM" "Total column-integrated melting ice" "kg/m^2"
0 1 211  "EMNP" "Evaporation - Precipitation" "cm/day"
0 1 212  "SBSNO" "Sublimation (evaporation from snow)" "W/m^2"
0 1 213  "CNVMR" "Deep Convective Moistening Rate" "kg/kg/s"
0 1 214  "SHAMR" "Shallow Convective Moistening Rate" "kg/kg/s"
0 1 215  "VDFMR" "Vertical Diffusion Moistening Rate" "kg/kg/s"
0 1 216  "CONDP" "Condensation Pressure of Parcali Lifted From Indicate Surface" "Pa"
0 1 217  "LRGMR" "Large scale moistening rate" "kg/kg/s"
0 1 218  "QZ0" "Specific humidity at top of viscous sublayer" "kg/kg"
0 1 219  "QMAX" "Maximum specific humidity at 2m" "kg/kg"
0 1 220  "QMIN" "Minimum specific humidity at 2m" "kg/kg"
0 1 221  "ARAIN" "Liquid precipitation (rainfall)" "kg/m2"
0 1 222  "SNOWT" "Snow temperature" " "
0 1 223  "APCPN" "Total precipitation (nearest grid point)" "kg/m2"
0 1 224  "ACPCPN" "Convective precipitation (nearest grid point)" "kg/m2"
0 1 225  "FRZR" "Freezing Rain" "kg/m2"
0 1 226  "PWTHER" "Predominant Weather" "Numeric"
0 1 227  "FROZR" "Frozen Rain" "kg/m2"
0 1 241  "TSNOW" "Total Snow" "kg/m2"
0 2 0  "WDIR" "Wind Direction (from which blowing)" "deg"
0 2 1  "WIND" "Wind Speed" "m/s"
0 2 2  "UGRD" "U-Component of Wind" "m/s"
0 2 3  "VGRD" "V-Component of Wind" "m/s"
0 2 4  "STRM" "Stream Function" "m^2/s"
0 2 5  "VPOT" "Velocity Potential" "m^2/s"
0 2 6  "MNTSF" "Montgomery Stream Function" "m^2/s"
0 2 7  "SGCVV" "Sigma Coordinate Vertical Velocity" "1/s"
0 2 8  "VVEL" "Vertical Velocity (Pressure)" "Pa/s"
0 2 9  "DZDT" "Vertical Velocity (Geometric)" "m/s"
0 2 10  "ABSV" "Absolute Vorticity" "1/s"
0 2 11  "ABSD" "Absolute Divergence" "1/s"
0 2 12  "RELV" "Relative Vorticity" "1/s"
0 2 13  "RELD" "Relative Divergence" "1/s"
0 2 14  "PVORT" "Potential Vorticity" "Km2kg-1s-1"
0 2 15  "VUCSH" "Vertical U-Component of Shear" "1/s"
0 2 16  "VVCSH" "Vertical V-Component of Shear" "1/s"
0 2 17  "UFLX" "Momentum Flux" " "
0 2 18  "VFLX" "Momentum Flux" " "
0 2 19  "WMIXE" "Wind Mixing Energy" "J"
0 2 20  "BLYDP" "Boundary Layer Dissipation" "W/m^2"
0 2 21  "MAXGUST" "Maximum Wind Speed" "m/s"
0 2 22  "GUST" "Wind Speed (Gust)" "m/s"
0 2 23  "UGUST" "U-Component of Wind (Gust)" "m/s"
0 2 24  "VGUST" "V-Component of Wind (Gust)" "m/s"
0 2 25  "VWSH" "Vertical speed sheer" "1/s"
0 2 26  "MFLX" "Horizontal Momentum Flux" "N/m^2"
0 2 27  "USTM" "U-Component Storm Motion" "m/s"
0 2 28  "VSTM" "V-Component Storm Motion" "m/s"
0 2 29  "CD" "Drag Coefficient" "Numeric"
0 2 30  "FRICV" "Frictional Velocity" "m/s"
0 2 32  "ETACVV" "Eta Coordinate Vertical Velocity" "1/s"
0 2 192  "VWSH" "Vertical speed sheer" "1/s"
0 2 193  "MFLX" "Horizontal Momentum Flux" "N/m^2"
0 2 194  "USTM" "U-Component Storm Motion" "m/s"
0 2 195  "VSTM" "V-Component Storm Motion" "m/s"
0 2 196  "CD" "Drag Coefficient" "non-dim"
0 2 197  "FRICV" "Frictional Velocity" "m/s"
0 2 198  "LAUV" "Latitude of U Wind Component of Velocity" "deg"
0 2 199  "LOUV" "Longitude of U Wind Component of Velocity" "deg"
0 2 200  "LAVV" "Latitude of V Wind Component of Velocity" "deg"
0 2 201  "LOVV" "Longitude of V Wind Component of Velocity" "deg"
0 2 202  "LAPP" "Latitude of Presure Point" "deg"
0 2 203  "LOPP" "Longitude of Presure Point" "deg"
0 2 204  "VEDH" "Vertical Eddy Diffusivity Heat exchange" "m^2/s"
